Epoch 001 | Loss: 0.6480 | Val [AUROC: 0.5936 | F1: 0.4746 | Precision: 0.4924 | Recall: 0.4702 | ACCURACY: 0.5236] | Best AUROC: 0.5936 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 0.6256 | Val [AUROC: 0.5986 | F1: 0.4783 | Precision: 0.4874 | Recall: 0.4659 | ACCURACY: 0.5263] | Best AUROC: 0.5986 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 0.6249 | Val [AUROC: 0.6088 | F1: 0.4922 | Precision: 0.5065 | Recall: 0.4847 | ACCURACY: 0.5295] | Best AUROC: 0.6088 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 0.6045 | Val [AUROC: 0.6247 | F1: 0.4935 | Precision: 0.5083 | Recall: 0.4822 | ACCURACY: 0.5478] | Best AUROC: 0.6247 | LR: 9.97e-04 | Pat: 0/5
Epoch 005 | Loss: 0.5821 | Val [AUROC: 0.6424 | F1: 0.5176 | Precision: 0.5284 | Recall: 0.5102 | ACCURACY: 0.5520] | Best AUROC: 0.6424 | LR: 9.88e-04 | Pat: 0/5
Epoch 006 | Loss: 0.5538 | Val [AUROC: 0.6586 | F1: 0.5183 | Precision: 0.5294 | Recall: 0.5052 | ACCURACY: 0.5575] | Best AUROC: 0.6586 | LR: 9.74e-04 | Pat: 0/5
Epoch 007 | Loss: 0.5153 | Val [AUROC: 0.6866 | F1: 0.5483 | Precision: 0.5654 | Recall: 0.5374 | ACCURACY: 0.5917] | Best AUROC: 0.6866 | LR: 9.54e-04 | Pat: 0/5
Epoch 008 | Loss: 0.4790 | Val [AUROC: 0.7139 | F1: 0.5699 | Precision: 0.5839 | Recall: 0.5666 | ACCURACY: 0.6145] | Best AUROC: 0.7139 | LR: 9.29e-04 | Pat: 0/5
Epoch 009 | Loss: 0.4424 | Val [AUROC: 0.7559 | F1: 0.6103 | Precision: 0.6288 | Recall: 0.6068 | ACCURACY: 0.6447] | Best AUROC: 0.7559 | LR: 8.98e-04 | Pat: 0/5
Epoch 010 | Loss: 0.4053 | Val [AUROC: 0.7998 | F1: 0.6397 | Precision: 0.6521 | Recall: 0.6268 | ACCURACY: 0.6810] | Best AUROC: 0.7998 | LR: 8.63e-04 | Pat: 0/5
Epoch 011 | Loss: 0.3628 | Val [AUROC: 0.8299 | F1: 0.6608 | Precision: 0.6782 | Recall: 0.6547 | ACCURACY: 0.7004] | Best AUROC: 0.8299 | LR: 8.24e-04 | Pat: 0/5
