Epoch 001 | Loss: 0.6393 | Val [AUROC: 0.5795 | F1: 0.4625 | Precision: 0.4697 | Recall: 0.4500 | ACCURACY: 0.5060] | Best AUROC: 0.5795 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 0.6064 | Val [AUROC: 0.5899 | F1: 0.4705 | Precision: 0.4758 | Recall: 0.4561 | ACCURACY: 0.5103] | Best AUROC: 0.5899 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 0.6181 | Val [AUROC: 0.5952 | F1: 0.4733 | Precision: 0.4840 | Recall: 0.4608 | ACCURACY: 0.5192] | Best AUROC: 0.5952 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 0.6013 | Val [AUROC: 0.6083 | F1: 0.4844 | Precision: 0.4958 | Recall: 0.4715 | ACCURACY: 0.5281] | Best AUROC: 0.6083 | LR: 9.97e-04 | Pat: 0/5
Epoch 005 | Loss: 0.5799 | Val [AUROC: 0.6233 | F1: 0.4970 | Precision: 0.5137 | Recall: 0.4922 | ACCURACY: 0.5457] | Best AUROC: 0.6233 | LR: 9.88e-04 | Pat: 0/5
Epoch 006 | Loss: 0.5493 | Val [AUROC: 0.6426 | F1: 0.5200 | Precision: 0.5379 | Recall: 0.5153 | ACCURACY: 0.5534] | Best AUROC: 0.6426 | LR: 9.74e-04 | Pat: 0/5
Epoch 007 | Loss: 0.5143 | Val [AUROC: 0.6672 | F1: 0.5418 | Precision: 0.5575 | Recall: 0.5297 | ACCURACY: 0.5752] | Best AUROC: 0.6672 | LR: 9.54e-04 | Pat: 0/5
Epoch 008 | Loss: 0.4791 | Val [AUROC: 0.6913 | F1: 0.5549 | Precision: 0.5607 | Recall: 0.5536 | ACCURACY: 0.5941] | Best AUROC: 0.6913 | LR: 9.29e-04 | Pat: 0/5
Epoch 009 | Loss: 0.4417 | Val [AUROC: 0.7225 | F1: 0.5779 | Precision: 0.5919 | Recall: 0.5665 | ACCURACY: 0.6168] | Best AUROC: 0.7225 | LR: 8.98e-04 | Pat: 0/5
Epoch 010 | Loss: 0.4011 | Val [AUROC: 0.7605 | F1: 0.6116 | Precision: 0.6264 | Recall: 0.6004 | ACCURACY: 0.6363] | Best AUROC: 0.7605 | LR: 8.63e-04 | Pat: 0/5
Epoch 011 | Loss: 0.3662 | Val [AUROC: 0.7964 | F1: 0.6456 | Precision: 0.6517 | Recall: 0.6339 | ACCURACY: 0.6723] | Best AUROC: 0.7964 | LR: 8.24e-04 | Pat: 0/5
Epoch 012 | Loss: 0.3283 | Val [AUROC: 0.8279 | F1: 0.6557 | Precision: 0.6618 | Recall: 0.6435 | ACCURACY: 0.6954] | Best AUROC: 0.8279 | LR: 7.81e-04 | Pat: 0/5
Epoch 013 | Loss: 0.2952 | Val [AUROC: 0.8635 | F1: 0.6928 | Precision: 0.6981 | Recall: 0.6784 | ACCURACY: 0.7297] | Best AUROC: 0.8635 | LR: 7.34e-04 | Pat: 0/5
Epoch 014 | Loss: 0.2630 | Val [AUROC: 0.8908 | F1: 0.7117 | Precision: 0.7204 | Recall: 0.7067 | ACCURACY: 0.7400] | Best AUROC: 0.8908 | LR: 6.85e-04 | Pat: 0/5
Epoch 015 | Loss: 0.2378 | Val [AUROC: 0.9098 | F1: 0.7349 | Precision: 0.7473 | Recall: 0.7226 | ACCURACY: 0.7605] | Best AUROC: 0.9098 | LR: 6.34e-04 | Pat: 0/5
Epoch 016 | Loss: 0.2158 | Val [AUROC: 0.9270 | F1: 0.7317 | Precision: 0.7425 | Recall: 0.7238 | ACCURACY: 0.7762] | Best AUROC: 0.9270 | LR: 5.81e-04 | Pat: 0/5
Epoch 017 | Loss: 0.1981 | Val [AUROC: 0.9387 | F1: 0.7470 | Precision: 0.7530 | Recall: 0.7350 | ACCURACY: 0.7766] | Best AUROC: 0.9387 | LR: 5.28e-04 | Pat: 0/5
Epoch 018 | Loss: 0.1838 | Val [AUROC: 0.9528 | F1: 0.7586 | Precision: 0.7766 | Recall: 0.7482 | ACCURACY: 0.7921] | Best AUROC: 0.9528 | LR: 4.73e-04 | Pat: 0/5
Epoch 019 | Loss: 0.1732 | Val [AUROC: 0.9613 | F1: 0.7694 | Precision: 0.7807 | Recall: 0.7677 | ACCURACY: 0.7973] | Best AUROC: 0.9613 | LR: 4.20e-04 | Pat: 0/5
Epoch 020 | Loss: 0.1649 | Val [AUROC: 0.9643 | F1: 0.7690 | Precision: 0.7810 | Recall: 0.7612 | ACCURACY: 0.7977] | Best AUROC: 0.9643 | LR: 3.67e-04 | Pat: 0/5
Epoch 021 | Loss: 0.1584 | Val [AUROC: 0.9706 | F1: 0.7790 | Precision: 0.7989 | Recall: 0.7729 | ACCURACY: 0.8048] | Best AUROC: 0.9706 | LR: 3.16e-04 | Pat: 0/5
Epoch 022 | Loss: 0.1531 | Val [AUROC: 0.9721 | F1: 0.7807 | Precision: 0.8006 | Recall: 0.7746 | ACCURACY: 0.8074] | Best AUROC: 0.9721 | LR: 2.67e-04 | Pat: 0/5
Epoch 023 | Loss: 0.1492 | Val [AUROC: 0.9739 | F1: 0.7849 | Precision: 0.7986 | Recall: 0.7740 | ACCURACY: 0.8102] | Best AUROC: 0.9739 | LR: 2.20e-04 | Pat: 0/5
Epoch 024 | Loss: 0.1463 | Val [AUROC: 0.9727 | F1: 0.7823 | Precision: 0.8002 | Recall: 0.7676 | ACCURACY: 0.8099] | Best AUROC: 0.9739 | LR: 1.77e-04 | Pat: 1/5
Epoch 025 | Loss: 0.1441 | Val [AUROC: 0.9728 | F1: 0.7628 | Precision: 0.7754 | Recall: 0.7510 | ACCURACY: 0.7977] | Best AUROC: 0.9739 | LR: 1.38e-04 | Pat: 2/5
Epoch 026 | Loss: 0.1424 | Val [AUROC: 0.9704 | F1: 0.7822 | Precision: 0.8012 | Recall: 0.7703 | ACCURACY: 0.8040] | Best AUROC: 0.9739 | LR: 1.03e-04 | Pat: 3/5
Epoch 027 | Loss: 0.1412 | Val [AUROC: 0.9652 | F1: 0.7776 | Precision: 0.7916 | Recall: 0.7655 | ACCURACY: 0.8039] | Best AUROC: 0.9739 | LR: 7.25e-05 | Pat: 4/5
Epoch 028 | Loss: 0.1402 | Val [AUROC: 0.9625 | F1: 0.7725 | Precision: 0.7808 | Recall: 0.7677 | ACCURACY: 0.8006] | Best AUROC: 0.9739 | LR: 4.72e-05 | Pat: 5/5
